time_s,hand,reason
0.133,R,guard down (other hand); incomplete extension
0.4,L,guard down (other hand); incomplete extension
0.4,R,guard down (other hand); incomplete extension
1.3,L,guard down (other hand); incomplete extension
1.333,R,guard down (other hand)
1.433,R,guard down (other hand); incomplete extension
1.5,L,guard down (other hand); incomplete extension
1.567,L,guard down (other hand); incomplete extension
1.567,R,incomplete extension
2.433,L,guard down (other hand); incomplete extension
2.433,R,guard down (other hand); incomplete extension
2.533,L,guard down (other hand); incomplete extension
2.533,R,guard down (other hand); incomplete extension
2.6,L,guard down (other hand); incomplete extension
2.6,R,guard down (other hand); incomplete extension
3.233,L,guard down (other hand); incomplete extension
3.267,R,guard down (other hand); incomplete extension
3.333,L,incomplete extension
3.333,R,guard down (other hand); incomplete extension
3.4,L,incomplete extension
3.433,R,incomplete extension
3.9,L,guard down (other hand); incomplete extension
3.9,R,guard down (other hand); incomplete extension
4.0,L,guard down (other hand); incomplete extension
4.0,R,guard down (other hand); incomplete extension
4.333,L,guard down (other hand); incomplete extension
4.333,R,guard down (other hand); incomplete extension
4.433,L,guard down (other hand); incomplete extension
4.433,R,guard down (other hand); incomplete extension
5.0,L,guard down (other hand); incomplete extension
5.0,R,guard down (other hand); incomplete extension
5.4,L,guard down (other hand); incomplete extension
5.4,R,guard down (other hand); incomplete extension
5.5,L,guard down (other hand); incomplete extension
5.5,R,guard down (other hand); incomplete extension
